company_id,name,estab_year,Employees_counts
1,FalconX,2018,50 - 200 employees
2,goGlocal,2021,10 - 50 employees
3,IDfy,2011,200 - 500 employees
4,Indium Software,1999,More than 1000 employees
5,Kaleidofin,2017,50 - 200 employees
6,Kutumb,2020,50 - 200 employees
7,Lifesight,2017,50 - 200 employees
8,Vymo,2013,50 - 200 employees
9,Axis Bank,1994,More than 1000 employees
10,Blu Smart,2019,10 - 50 employees
11,CRED,2018,200 - 500 employees
12,Harman Connected Services,2012,50 - 200 employees
13,Hy-Vee,1930,More than 1000 employees
14,NxtWave,2020,More than 1000 employees
15,Persistent Systems,1990,More than 1000 employees
16,Wishfin,2016,200 - 500 employees
17,Blue Yonder,1985,More than 1000 employees
18,FedEx,1973,More than 1000 employees
19,Flash,2022,10 - 50 employees
20,HDFC ERGO,2002,More than 1000 employees
21,The Famous,2021,0 - 10 employees
22,Bigyellowfish,2018,10 - 50 employees
23,Bristol Myers Squibb,1887,More than 1000 employees
24,LTIMindtree,1996,More than 1000 employees
25,MUFG,1900,More than 1000 employees
26,Nitara,2017,50 - 200 employees
27,Presto Infosolutions,2005,50 - 200 employees
28,Stixis Technologies,2009,50 - 200 employees
29,Yiron Technologies,2015,50 - 200 employees
30,Amantya Technologies,2018,200 - 500 employees
31,Asentech,2007,50 - 200 employees
32,Cholamandalam MS General Insurance,2001,500 - 1000 employees
33,Fintellix Solutions,2008,200 - 500 employees
34,Genpact,1997,More than 1000 employees
35,Tao Digital Solutions,2022,200 - 500 employees
36,AND Academy,2021,10 - 50 employees
37,Avis Budget Group,1946,More than 1000 employees
38,MyBillBook (FloBiz),2019,200 - 500 employees
39,Pegasystems,1983,More than 1000 employees
40,slice,2016,More than 1000 employees
41,TLC Relationship Management,2002,500 - 1000 employees
42,Cohesity,2013,More than 1000 employees
43,Digit Insurance,2016,500 - 1000 employees
44,Inspire Brands,2018,More than 1000 employees
45,Learning Shala,2018,50 - 200 employees
46,Leucine,2017,10 - 50 employees
47,PhonePe,2015,More than 1000 employees
48,PhysicsWallah,2014,More than 1000 employees
49,SatSure,2017,50 - 200 employees
50,Scope Retail Systems,2017,0 - 10 employees
51,Tesco,2004,More than 1000 employees
52,Flipkart,2007,More than 1000 employees
53,Horizon Broadband,2018,10 - 50 employees
54,IndiaMART InterMESH,1999,More than 1000 employees
55,Scaler Academy,2019,50 - 200 employees
56,Turtlemint,2015,More than 1000 employees
57,Acko,2017,500 - 1000 employees
58,Bizongo,2014,200 - 500 employees
59,CASHe,2016,200 - 500 employees
60,Plivo,2011,50 - 200 employees
61,Silicon Stack,2016,
62,Think360 Studio,2010,10 - 50 employees
63,Archiroots,2020,10 - 50 employees
64,BYJU'S,2011,More than 1000 employees
65,EY,1989,More than 1000 employees
66,IBM,1911,More than 1000 employees
67,UniCourt India,2011,50 - 200 employees
68,Viacom18,2007,More than 1000 employees
69,VMware,1998,More than 1000 employees
70,Wayfair,2002,More than 1000 employees
71,Allen Career Institute,1988,More than 1000 employees
72,CreditVidya,2013,50 - 200 employees
73,Nykaa,2012,200 - 500 employees
74,Trivialworks Solutions,2011,50 - 200 employees
75,Verbat Technologies,1999,10 - 50 employees
76,Corus Infotech,2016,10 - 50 employees
77,Gemini,2014,500 - 1000 employees
78,Joveo,2016,50 - 200 employees
79,Minus Zero,2020,10 - 50 employees
80,Tork Motors,2010,50 - 200 employees
81,WeSquare,2014,10 - 50 employees
82,NoBroker,2014,More than 1000 employees
83,Presto Apps,2014,10 - 50 employees
84,Technocrats Horizons,2010,10 - 50 employees
85,TechSnitch,2023,50 - 200 employees
86,TVS Credit Services,2009,More than 1000 employees
87,WebileApps,2011,10 - 50 employees
88,WorkSpan,2014,50 - 200 employees
89,Annalect,2010,More than 1000 employees
90,Avataar,2014,200 - 500 employees
91,Jodo,2020,200 - 500 employees
92,TA Digital,2000,500 - 1000 employees
93,Verizon Communications,1983,More than 1000 employees
94,WeRize,2019,50 - 200 employees
95,3one4 Capital,2015,10 - 50 employees
96,Awign,2016,200 - 500 employees
97,Capillary Technologies,2008,200 - 500 employees
